word,category,genre,number,syllables,tonic
zamora,sustantivo,neutro,singular,za mo ra,2
cañas,sustantivo,neutro,singular,ca ñas,1
compostela,sustantivo,neutro,singular,com pos te la,3
jala,sustantivo,neutro,singular,ja la,1
blas,sustantivo,neutro,singular,blas,1
oro,sustantivo,neutro,singular,o ro,1
bahía,sustantivo,neutro,singular,ba hí a,2
banderas,sustantivo,neutro,singular,ban de ras,2
ciénega,sustantivo,neutro,singular,cié ne ga,1
china,sustantivo,neutro,singular,chi na,1
doctor,sustantivo,neutro,singular,doc tor,2
arroyo,sustantivo,neutro,singular,a rro yo,2
galeana,sustantivo,neutro,singular,ga le a na,3
herreras,sustantivo,neutro,singular,he rre ras,2
higueras,sustantivo,neutro,singular,hi gue ras,2
mina,sustantivo,neutro,singular,mi na,1
monterrey,sustantivo,neutro,singular,mon te rrey,3
parás,sustantivo,neutro,singular,pa rás,2
pesquería,sustantivo,neutro,singular,pes que rí a,3
rayones,sustantivo,neutro,singular,ra yo nes,2
salinas,sustantivo,neutro,singular,sa li nas,2
hidalgo,sustantivo,neutro,singular,hi dal go,2
soledad,sustantivo,neutro,singular,so le dad,3
ciénega,sustantivo,neutro,singular,cié ne ga,1
ciudad,sustantivo,neutro,singular,ciu dad,2
altas,sustantivo,neutro,singular,al tas,1
compañía,sustantivo,neutro,singular,com pa ñí a,3
rosario,sustantivo,neutro,singular,ro sa rio,2
fresnillo,sustantivo,neutro,singular,fres ni llo,2
mesones,sustantivo,neutro,singular,me so nes,2
hidalgo,sustantivo,neutro,singular,hi dal go,2
mariscala,sustantivo,neutro,singular,ma ris ca la,3
natividad,sustantivo,neutro,singular,na ti vi dad,4
nazareno,sustantivo,neutro,singular,na za re no,3
nieves,sustantivo,neutro,singular,nie ves,1
progreso,sustantivo,neutro,singular,pro gre so,2
reforma,sustantivo,neutro,singular,re for ma,2
rojas,sustantivo,neutro,singular,ro jas,1
salina,sustantivo,neutro,singular,sa li na,2
juntas,sustantivo,neutro,singular,jun tas,1
cabecera,sustantivo,neutro,singular,ca be ce ra,3
nueva,sustantivo,neutro,singular,nue va,1
lagunas,sustantivo,neutro,singular,la gu nas,2
alto,sustantivo,neutro,singular,al to,1
verde,sustantivo,neutro,singular,ver de,1
bajo,sustantivo,neutro,singular,ba jo,1
bernardo,sustantivo,neutro,singular,ber nar do,2
atempa,sustantivo,neutro,singular,a tem pa,2
mar,sustantivo,neutro,singular,mar,1
esteban,sustantivo,neutro,singular,es te ban,2
mar,sustantivo,neutro,singular,mar,1
sola,sustantivo,neutro,singular,so la,1
sola,sustantivo,neutro,singular,so la,1
alta,sustantivo,neutro,singular,al ta,1
independencia,sustantivo,neutro,singular,in de pen den cia,4
colorado,sustantivo,neutro,singular,co lo ra do,3
estado,sustantivo,neutro,singular,es ta do,2
río,sustantivo,neutro,singular,rí o,1
marcial,sustantivo,neutro,singular,mar cial,2
peras,sustantivo,neutro,singular,pe ras,1
mar,sustantivo,neutro,singular,mar,1
piñas,sustantivo,neutro,singular,pi ñas,1
hondo,sustantivo,neutro,singular,hon do,1
río,sustantivo,neutro,singular,rí o,1
peras,sustantivo,neutro,singular,pe ras,1
piedras,sustantivo,neutro,singular,pie dras,1
